,lat,lon,ele,time
0,37.848651,-121.931513,493.3,2020-03-15T22:30:43Z
1,37.848735,-121.931497,492.6,2020-03-15T22:30:49Z
2,37.848755,-121.931497,492.4,2020-03-15T22:31:40Z
3,37.848784,-121.931276,486.7,2020-03-15T22:32:00Z
4,37.848822,-121.931076,483.0,2020-03-15T22:32:16Z
5,37.848785,-121.930854,481.2,2020-03-15T22:32:33Z
6,37.848699,-121.930644,479.6,2020-03-15T22:32:48Z
7,37.848684,-121.930418,477.4,2020-03-15T22:33:03Z
8,37.848561,-121.930241,475.4,2020-03-15T22:33:18Z
9,37.848477,-121.93004,473.6,2020-03-15T22:33:34Z
10,37.848444,-121.929804,472.1,2020-03-15T22:33:51Z
11,37.848387,-121.929588,470.2,2020-03-15T22:34:05Z
12,37.8483,-121.929403,468.5,2020-03-15T22:34:24Z
13,37.848223,-121.929199,466.8,2020-03-15T22:34:38Z
14,37.848174,-121.92898,465.1,2020-03-15T22:34:53Z
15,37.848165,-121.928744,463.2,2020-03-15T22:35:08Z
16,37.848133,-121.928507,461.0,2020-03-15T22:35:23Z
17,37.84801,-121.928334,459.3,2020-03-15T22:35:38Z
18,37.848071,-121.928108,458.4,2020-03-15T22:35:51Z
19,37.848072,-121.927874,458.0,2020-03-15T22:36:06Z
20,37.848017,-121.927642,457.8,2020-03-15T22:36:23Z
21,37.84796,-121.927411,457.6,2020-03-15T22:36:39Z
22,37.848013,-121.927206,457.1,2020-03-15T22:36:53Z
23,37.848152,-121.927041,455.7,2020-03-15T22:37:07Z
24,37.848303,-121.926895,454.4,2020-03-15T22:37:20Z
25,37.84832,-121.926869,454.2,2020-03-15T22:37:23Z
26,37.848167,-121.92672,452.9,2020-03-15T22:37:40Z
27,37.848055,-121.926529,451.4,2020-03-15T22:37:56Z
28,37.847899,-121.926368,449.5,2020-03-15T22:38:10Z
29,37.84771,-121.926341,447.7,2020-03-15T22:38:23Z
30,37.847645,-121.926359,447.0,2020-03-15T22:38:29Z
31,37.847568,-121.926337,445.9,2020-03-15T22:38:36Z
32,37.847529,-121.926275,444.8,2020-03-15T22:38:42Z
33,37.847516,-121.926208,445.0,2020-03-15T22:38:49Z
34,37.847512,-121.926185,445.1,2020-03-15T22:38:51Z
35,37.847486,-121.926129,445.2,2020-03-15T22:38:56Z
36,37.847397,-121.926035,445.7,2020-03-15T22:39:04Z
37,37.84736,-121.926,445.9,2020-03-15T22:39:07Z
